sequence	16S_rRNA_Count	metadata_NSTI
ASV0633	1	0.088453
ASV0634	1	0.340136
ASV0635	1	0.084249
ASV0636	1	0.37174
ASV0637	1	0.0671
ASV0638	1	0.222325
ASV0639	5	0.069966
ASV0640	2	0.042744
ASV0641	1	0.621656
ASV0642	1	0.052779999999999994
ASV0643	1	0.303433
ASV0644	1	0.014808000000000002
ASV0645	5	0.058713999999999995
ASV0646	5	0.05934400000000001
ASV0647	2	0.002151
ASV0648	1	0.027639999999999998
ASV0649	1	0.047425
ASV0650	4	0.069547
ASV0651	1	0.060699
ASV0652	5	0.034888
ASV0653	1	0.042811
ASV0654	1	0.023035
ASV0655	1	0.067092
ASV0656	1	0.210851
ASV0657	1	0.005543
ASV0658	5	0.081312
ASV0659	5	0.074696
ASV0660	1	0.05200900000000001
ASV0661	1	0.079756
ASV0662	1	0.082064
ASV0663	1	0.008465
ASV0664	2	0.013028
ASV0665	1	0.035655
ASV0666	5	0.049273000000000004
ASV0667	5	0.03246
ASV0668	1	0.04553
ASV0669	1	0.042111
ASV0670	1	0.053733
ASV0671	1	0.018944
ASV0672	1	0.030147000000000004
ASV0673	1	0.048804
ASV0674	1	0.17458800000000002
ASV0675	1	0.077047
ASV0676	1	0.035622
ASV0677	1	0.061125
ASV0678	1	0.190606
ASV0679	5	0.071541
ASV0680	1	0.303433
ASV0681	2	0.015161
ASV0682	1	0.20439100000000002
ASV0683	3	0.080607
ASV0684	1	0.086162
ASV0685	1	0.337484
ASV0686	1	0.065288
ASV0687	1	0.280659
ASV0688	1	0.043593
ASV0689	5	0.027017000000000003
ASV0690	1	0.026579000000000002
ASV0691	1	0.008103
ASV0692	1	0.156277
ASV0693	3	0.095662
ASV0694	1	0.042982
ASV0695	1	0.049914
ASV0696	1	0.634233
ASV0697	1	0.010574
ASV0698	5	0.024123
ASV0699	5	0.017363
ASV0700	5	0.078972
ASV0701	5	0.012887000000000001
ASV0702	5	0.072004
ASV0703	1	0.063399
ASV0704	1	0.116428
ASV0705	1	0.090066
ASV0706	4	0.008715
ASV0707	1	0.165572
ASV0708	5	0.078849
ASV0709	2	0.050849
ASV0710	1	0.06137000000000001
ASV0711	1	0.07165
ASV0712	1	0.042457999999999996
ASV0713	1	0.21298000000000003
ASV0714	2	0.135319
ASV0715	1	0.142504
ASV0716	1	0.023287000000000002
ASV0717	1	0.02781
ASV0718	1	0.139004
ASV0719	2	0.060009
ASV0720	5	0.033531
ASV0721	5	0.079831
ASV0722	2	0.128643
ASV0723	1	0.044045999999999995
ASV0724	1	0.06438200000000001
ASV0725	1	0.063485
ASV0726	1	0.053779999999999994
ASV0727	1	0.045197
ASV0728	1	0.025695
ASV0729	1	0.002212
ASV0730	1	0.23679499999999998
ASV0731	2	0.043769999999999996
ASV0732	1	0.19834100000000002
ASV0733	2	0.021609
ASV0734	1	0.008429
ASV0735	5	0.041606
ASV0736	1	0.6134149999999999
ASV0737	1	0.258062
ASV0738	1	0.10869300000000001
ASV0739	1	0.019488
ASV0740	1	0.053142999999999996
ASV0741	2	0.045291000000000005
ASV0742	1	0.668927
ASV0743	1	0.09966900000000001
ASV0744	1	0.036476999999999996
ASV0745	1	0.048304
ASV0746	1	0.040663
ASV0747	1	0.44149499999999997
ASV0748	1	0.646296
ASV0749	1	0.03508
ASV0750	1	0.052716
ASV0751	2	0.484426
ASV0752	1	0.045704
ASV0753	8	0.004175
ASV0754	8	0.017351
ASV0755	1	0.303433
ASV0756	8	0.022687
ASV0757	5	0.026394
ASV0758	1	0.5828770000000001
ASV0759	1	0.002154
ASV0760	1	0.5828770000000001
ASV0761	1	0.345639
ASV0762	1	0.021204
ASV0763	1	0.351927
ASV0764	1	0.146152
ASV0765	1	0.00015
ASV0766	1	0.05899600000000001
ASV0767	1	0.166245
ASV0768	3	0.081045
ASV0769	1	0.046842
ASV0770	2	0.135319
ASV0771	3	0.10558800000000002
ASV0772	1	0.058979
ASV0773	1	0.303433
ASV0774	5	0.066314
ASV0775	5	0.093109
ASV0776	1	0.16967000000000002
ASV0777	1	0.093072
ASV0778	1	0.286423
ASV0779	1	0.157934
ASV0780	1	0.016046
ASV0781	1	0.190606
ASV0782	1	0.600993
ASV0783	1	0.022109
ASV0784	5	0.080327
ASV0785	5	0.041500999999999996
ASV0786	1	0.303433
ASV0787	3	0.012758
ASV0788	1	0.164649
ASV0789	1	0.626166
ASV0790	3	0.10583800000000002
ASV0791	1	0.060036
ASV0792	1	0.893808
ASV0793	5	0.044516
ASV0794	4	0.015674
ASV0795	1	0.036873
ASV0796	1	0.016681
ASV0797	2	0.004372
ASV0798	1	0.048115
ASV0799	1	0.085238
ASV0800	1	0.21116999999999997
ASV0801	2	0.034974
ASV0802	3	0.029404000000000003
ASV0803	1	0.252923
ASV0804	1	0.082493
ASV0805	1	0.006478
ASV0806	1	0.13555
ASV0807	1	0.14511
ASV0808	1	0.022024000000000002
ASV0809	3	0.036095999999999996
ASV0810	1	0.6315890000000001
ASV0811	1	0.083957
ASV0812	1	0.066879
ASV0813	1	0.3432
ASV0814	1	0.075306
ASV0815	1	0.031001
ASV0816	2	0.013022999999999998
ASV0817	1	0.11382
ASV0818	1	0.043082
ASV0819	1	0.062851
ASV0820	1	0.053549
ASV0821	1	0.053475999999999996
ASV0822	1	0.083606
ASV0823	5	0.081
ASV0824	1	0.056224
ASV0825	1	0.055263
ASV0826	1	0.023363
ASV0827	1	0.088952
ASV0828	1	0.16639400000000001
ASV0829	1	0.181676
ASV0830	3	0.084006
ASV0831	1	0.328621
ASV0832	1	0.036829
ASV0833	2	0.11194000000000001
ASV0834	1	0.05380599999999999
ASV0835	1	0.073025
ASV0836	1	0.33903
ASV0837	1	0.0055049999999999995
ASV0838	1	0.043761
ASV0839	1	0.020884
ASV0840	1	0.02875
ASV0841	1	0.190606
ASV0842	1	0.052405999999999994
ASV0843	4	0.041513
ASV0844	1	0.065526
ASV0845	1	0.21780300000000002
ASV0846	1	0.086836
ASV0847	1	0.049919
ASV0848	2	0.211691
ASV0849	1	0.017534
ASV0850	5	0.12054100000000001
ASV0851	5	0.031089
ASV0852	1	0.144587
ASV0853	2	0.006465
ASV0854	2	0.057562
ASV0855	1	0.019150999999999998
ASV0856	6	0.144849
ASV0857	1	0.034856
ASV0858	2	0.468347
ASV0859	2	0.031312
ASV0860	1	0.045895
ASV0861	2	0.098328
ASV0862	5	0.089801
ASV0863	1	0.311567
